Municipio,Classificacao,Sexo,StatusNotificacao,Quantidade,DataEncerramento_Nula,DataObito_Nula
COLATINA,Suspeito,M,Encerrado,2281,0,2280
COLATINA,Síndrome Gripal não Especificada,F,Em Aberto,2,2,2
COLATINA,Síndrome Gripal não Especificada,F,Encerrado,1023,0,1022
COLATINA,Síndrome Gripal não Especificada,M,Encerrado,784,0,784
CONCEICAO DA BARRA,Confirmados,F,Em Aberto,46,46,46
CONCEICAO DA BARRA,Confirmados,F,Encerrado,4461,0,4413
CONCEICAO DA BARRA,Confirmados,I,Encerrado,1,0,1
CONCEICAO DA BARRA,Confirmados,M,Em Aberto,29,29,28
CONCEICAO DA BARRA,Confirmados,M,Encerrado,3378,0,3337
CONCEICAO DA BARRA,Descartados,F,Em Aberto,344,344,344
CONCEICAO DA BARRA,Descartados,F,Encerrado,10152,0,10134
CONCEICAO DA BARRA,Descartados,I,Encerrado,8,0,8
CONCEICAO DA BARRA,Descartados,M,Em Aberto,205,205,205
CONCEICAO DA BARRA,Descartados,M,Encerrado,6797,0,6778
CONCEICAO DA BARRA,Suspeito,F,Em Aberto,47,47,47
CONCEICAO DA BARRA,Suspeito,F,Encerrado,4,0,4
CONCEICAO DA BARRA,Suspeito,M,Em Aberto,50,50,50
CONCEICAO DA BARRA,Suspeito,M,Encerrado,3,0,1
CONCEICAO DA BARRA,Síndrome Gripal não Especificada,F,Em Aberto,3,3,3
CONCEICAO DA BARRA,Síndrome Gripal não Especificada,F,Encerrado,23,0,23
CONCEICAO DA BARRA,Síndrome Gripal não Especificada,M,Em Aberto,1,1,1
CONCEICAO DA BARRA,Síndrome Gripal não Especificada,M,Encerrado,18,0,17
CONCEICAO DO CASTELO,Confirmados,F,Em Aberto,12,12,12
CONCEICAO DO CASTELO,Confirmados,F,Encerrado,2057,0,2042
CONCEICAO DO CASTELO,Confirmados,M,Em Aberto,9,9,9
CONCEICAO DO CASTELO,Confirmados,M,Encerrado,1547,0,1527
CONCEICAO DO CASTELO,Descartados,F,Em Aberto,66,66,66
CONCEICAO DO CASTELO,Descartados,F,Encerrado,4553,0,4544
CONCEICAO DO CASTELO,Descartados,M,Em Aberto,46,46,46
CONCEICAO DO CASTELO,Descartados,M,Encerrado,3401,0,3393
CONCEICAO DO CASTELO,Suspeito,F,Em Aberto,24,24,24
CONCEICAO DO CASTELO,Suspeito,F,Encerrado,4,0,4
CONCEICAO DO CASTELO,Suspeito,M,Em Aberto,19,19,19
CONCEICAO DO CASTELO,Suspeito,M,Encerrado,4,0,4
CONCEICAO DO CASTELO,Síndrome Gripal não Especificada,F,Encerrado,4,0,4
CONCEICAO DO CASTELO,Síndrome Gripal não Especificada,M,Encerrado,3,0,3
DIVINO DE SAO LOURENCO,Confirmados,F,Em Aberto,24,24,24
DIVINO DE SAO LOURENCO,Confirmados,F,Encerrado,602,0,594
DIVINO DE SAO LOURENCO,Confirmados,M,Em Aberto,13,13,13
DIVINO DE SAO LOURENCO,Confirmados,M,Encerrado,425,0,417
DIVINO DE SAO LOURENCO,Descartados,F,Em Aberto,14,14,14
DIVINO DE SAO LOURENCO,Descartados,F,Encerrado,817,0,810
DIVINO DE SAO LOURENCO,Descartados,M,Em Aberto,13,13,13
DIVINO DE SAO LOURENCO,Descartados,M,Encerrado,662,0,659
DIVINO DE SAO LOURENCO,Suspeito,F,Em Aberto,43,43,43
DIVINO DE SAO LOURENCO,Suspeito,F,Encerrado,58,0,58
DIVINO DE SAO LOURENCO,Suspeito,M,Em Aberto,40,40,40
DIVINO DE SAO LOURENCO,Suspeito,M,Encerrado,63,0,63
DIVINO DE SAO LOURENCO,Síndrome Gripal não Especificada,F,Em Aberto,17,17,17
DIVINO DE SAO LOURENCO,Síndrome Gripal não Especificada,F,Encerrado,66,0,66
DIVINO DE SAO LOURENCO,Síndrome Gripal não Especificada,M,Em Aberto,11,11,11
DIVINO DE SAO LOURENCO,Síndrome Gripal não Especificada,M,Encerrado,72,0,72
DOMINGOS MARTINS,Confirmados,F,Em Aberto,2,2,2
DOMINGOS MARTINS,Confirmados,F,Encerrado,7449,0,7409
DOMINGOS MARTINS,Confirmados,M,Encerrado,5611,0,5548
DOMINGOS MARTINS,Descartados,F,Encerrado,17995,0,17971
DOMINGOS MARTINS,Descartados,I,Encerrado,4,0,4
DOMINGOS MARTINS,Descartados,M,Encerrado,12820,0,12793
DOMINGOS MARTINS,Suspeito,F,Em Aberto,8,8,8
DOMINGOS MARTINS,Suspeito,M,Em Aberto,10,10,10
DOMINGOS MARTINS,Síndrome Gripal não Especificada,F,Em Aberto,2,2,2
DOMINGOS MARTINS,Síndrome Gripal não Especificada,F,Encerrado,1623,0,1623
DOMINGOS MARTINS,Síndrome Gripal não Especificada,M,Em Aberto,3,3,3
DOMINGOS MARTINS,Síndrome Gripal não Especificada,M,Encerrado,1375,0,1375
DORES DO RIO PRETO,Confirmados,F,Em Aberto,26,26,26
DORES DO RIO PRETO,Confirmados,F,Encerrado,1077,0,1067
DORES DO RIO PRETO,Confirmados,M,Em Aberto,15,15,15
DORES DO RIO PRETO,Confirmados,M,Encerrado,751,0,744
DORES DO RIO PRETO,Descartados,F,Em Aberto,194,194,193
DORES DO RIO PRETO,Descartados,F,Encerrado,1256,0,1254
DORES DO RIO PRETO,Descartados,M,Em Aberto,109,109,109
DORES DO RIO PRETO,Descartados,M,Encerrado,919,0,917
DORES DO RIO PRETO,Suspeito,F,Em Aberto,8,8,8
DORES DO RIO PRETO,Suspeito,F,Encerrado,2,0,2
DORES DO RIO PRETO,Suspeito,M,Em Aberto,4,4,4
DORES DO RIO PRETO,Suspeito,M,Encerrado,1,0,1
ECOPORANGA,Confirmados,F,Em Aberto,303,303,303
ECOPORANGA,Confirmados,F,Encerrado,4334,0,4285
ECOPORANGA,Confirmados,M,Em Aberto,203,203,203
ECOPORANGA,Confirmados,M,Encerrado,3225,0,3174
ECOPORANGA,Descartados,F,Em Aberto,225,225,225
ECOPORANGA,Descartados,F,Encerrado,4317,0,4304
ECOPORANGA,Descartados,I,Em Aberto,1,1,1
ECOPORANGA,Descartados,M,Em Aberto,151,151,151
ECOPORANGA,Descartados,M,Encerrado,2960,0,2950
ECOPORANGA,Suspeito,F,Em Aberto,2744,2744,2744
ECOPORANGA,Suspeito,F,Encerrado,1728,0,1728
ECOPORANGA,Suspeito,I,Em Aberto,3,3,3
ECOPORANGA,Suspeito,M,Em Aberto,1830,1830,1830
ECOPORANGA,Suspeito,M,Encerrado,1252,0,1251
ECOPORANGA,Síndrome Gripal não Especificada,F,Em Aberto,18,18,18
ECOPORANGA,Síndrome Gripal não Especificada,F,Encerrado,36,0,35
ECOPORANGA,Síndrome Gripal não Especificada,M,Em Aberto,10,10,10
ECOPORANGA,Síndrome Gripal não Especificada,M,Encerrado,25,0,25
FUNDAO,Confirmados,F,Em Aberto,29,29,29
FUNDAO,Confirmados,F,Encerrado,4311,0,4274
FUNDAO,Confirmados,I,Encerrado,5,0,5
FUNDAO,Confirmados,M,Em Aberto,22,22,21
FUNDAO,Confirmados,M,Encerrado,3491,0,3441
FUNDAO,Descartados,F,Em Aberto,424,424,424
FUNDAO,Descartados,F,Encerrado,10934,0,10915
FUNDAO,Descartados,I,Encerrado,10,0,10
FUNDAO,Descartados,M,Em Aberto,289,289,288
